Date,U.S. Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Imports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Pipeline Imports Price (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas LNG Imports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),Price of U.S. Natural Gas Pipeline Exports (Dollars per Thousand Cubic Feet),Price of Liquefied U.S. Natural Gas Exports (Dollars per Thousand Cubic Feet),U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),U.S. Natural Gas Electric Power Price (Dollars per Thousand Cubic Feet),U.S. Natural Gas Gross Withdrawals (MMcf),U.S. Natural Gas Gross Withdrawals from Gas Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Oil Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),U.S. Natural Gas Gross Withdrawals from Coalbed Wells (MMcf),U.S. Natural Gas Repressuring (MMcf),U.S. Nonhydrocarbon Gases Removed from Natural Gas (MMcf),U.S. Natural Gas Vented and Flared (MMcf),U.S. Natural Gas Marketed Production (MMcf),U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),U.S. Dry Natural Gas Production (MMcf),U.S. Natural Gas Imports (MMcf),U.S. Natural Gas Pipeline Imports (MMcf),U.S. Liquefied Natural Gas Imports (MMcf),U.S. Natural Gas Exports (MMcf),U.S. Natural Gas Pipeline Exports (MMcf),Liquefied U.S. Natural Gas Exports (MMcf),U.S. Total Natural Gas Underground Storage Capacity (MMcf),U.S. Natural Gas Underground Storage Volume (MMcf),U.S. Total Natural Gas in Underground Storage (Base Gas) (MMcf),U.S. Total Natural Gas in Underground Storage (Working Gas) (MMcf),U.S. Total Natural Gas Injections into Underground Storage (MMcf),U.S. Natural  Gas Underground Storage Withdrawals (MMcf),U.S. Natural Gas Underground Storage Net Withdrawals (MMcf),U.S. Natural Gas Total Consumption (MMcf),U.S. Natural Gas Lease and Plant Fuel Consumption (MMcf),U.S. Natural Gas Pipeline & Distribution Use (MMcf),Natural Gas Delivered to Consumers in the U.S. (MMcf),U.S. Natural Gas Residential Consumption (MMcf),Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the U.S. (MMcf),U.S. Natural Gas Industrial Consumption (MMcf),U.S. Natural Gas Vehicle Fuel Consumption (MMcf),U.S. Natural Gas Deliveries to Electric Power Consumers (MMcf)
Dec-15,,2.28,2.13,4.02,2.57,2.3,15.95,3.75,9.27,7.23,3.48,2.72,2812110,761813,584648,1370350,95299,322685,32160,22345,2434920,144425,2290495,227257,221613,5618,161754,158555,3172,9230840,8038172,4371540,3666632,138226,402564,264337,2588168,133407,64859,2389902,590911,352506,674532,3345,768606
Jan-16,,2.8,2.42,5.48,2.54,2.54,10.74,3.39,8.28,6.75,3.62,3.18,2823104,638346,575737,1515623,93398,323332,41849,22548,2435375,155035,2280340,273600,261521,12048,168521,168470,26,9225127,7307245,4369156,2938089,66038,794704,728666,3091695,132516,78465,2880714,878936,503093,721171,3560,773954
Feb-16,,2.43,2.12,5.12,2.28,2.26,3.59,3.48,8.36,6.86,3.58,2.83,2653842,616281,524352,1426005,87204,299216,25281,18824,2310521,147087,2163435,251775,242019,9728,162757,159426,3309,9235132,6903611,4369319,2534293,111437,514528,403091,2652260,125722,66993,2459545,690077,413548,662790,3330,689800
Mar-16,,1.73,1.55,3.29,2.04,1.93,4.01,3.49,9.19,7.08,3.02,2.33,2824983,672249,559755,1499248,93731,320612,41483,20912,2441976,155455,2286521,240764,232164,8568,194915,184816,10078,9228893,6846761,4360438,2486323,215369,263952,48583,2356298,132875,58956,2164467,455001,298447,662694,3560,744765
Apr-16,,1.61,1.51,3.3,2.15,2.04,3.96,3.22,9.65,6.98,3,2.52,2678610,616021,505035,1468682,88872,272439,25608,19009,2361554,150335,2211218,241317,236522,4767,177853,167789,10036,9232305,7009450,4363889,2645560,294423,129944,-164479,2083848,128499,51848,1903501,328059,233059,620045,3445,718893
May-16,,1.55,1.44,3.45,2.15,2.03,4.21,3.44,11.62,7.32,2.9,2.49,2767844,622639,536119,1518351,90735,298044,38561,18764,2412475,153577,2258898,248317,243088,5200,188274,178375,9874,9232937,7332475,4366209,2966266,402385,73834,-328551,1965799,131270,48644,1785885,193922,171297,612675,3560,804431
Jun-16,,1.9,1.76,3.18,2.6,2.39,4.72,3.84,14.43,7.72,2.89,2.77,2628164,589857,488158,1463590,86558,259498,37047,19331,2312288,147199,2165089,241885,234229,7638,183013,166551,16445,9237209,7554670,4368637,3186033,316418,94090,-222328,2000656,125818,49713,1825125,122640,138340,590392,3445,970308
Jul-16,,2.35,2.26,3.21,3.02,2.78,5.63,4.42,16.56,8.14,3.57,3.07,2721210,603497,504249,1523883,89582,274540,15866,21890,2408915,153350,2255564,265022,259224,5773,188682,172923,15739,9236021,7686988,4368849,3318139,283189,150122,-133067,2186616,131076,54504,2001036,106420,134609,616480,3560,1139968
Aug-16,,2.42,2.29,3.23,3.13,2.84,5.13,4.33,17.6,8.3,3.59,3.07,2722631,590207,520679,1521640,90105,282492,31303,19023,2389813,152134,2237678,261983,253883,8082,214226,187458,26768,9236021,7810783,4369458,3441325,285482,161716,-123765,2208375,130037,55109,2023229,100455,140436,627541,3560,1151236
Sep-16,,2.47,2.42,3.25,3.16,2.99,5.11,4.6,16.78,8.28,3.74,3.18,2626213,584167,505551,1448961,87534,273711,38011,17090,2297402,146252,2151150,238491,235594,2882,201986,185222,16764,9236001,8073906,4368744,3705161,350787,88399,-262387,1947752,125008,48332,1774412,109782,142031,603868,3445,915286
Oct-16,,2.59,2.5,3.1,3.06,3.05,3.65,4.19,13.74,7.96,3.87,3.23,2720187,601760,539447,1488769,90212,296954,39987,18567,2364679,150534,2214145,231449,225671,5753,176466,173455,3000,9235898,8384087,4371364,4012723,386636,78239,-308397,1925203,128669,47637,1748897,187385,191437,622720,3560,743796
Nov-16,,2.7,2.41,4.95,3,2.74,4.58,3.9,10.77,7.67,3.86,3.14,2678247,571539,553695,1467124,85889,315978,38221,16554,2307494,146894,2160600,231044,221949,9073,227919,194922,32976,9235944,8349053,4372472,3976581,177903,213195,35292,2159445,125558,53930,1979957,379746,280600,654119,3445,662046
Dec-16,,3.5,3.31,4.63,3.82,3.65,4.68,3.96,9.06,7.27,4.27,4.15,2746543,581295,572343,1505663,87242,331292,39797,17899,2357556,150081,2207475,280791,271910,8854,250836,208993,41825,9239042,7676680,4379736,3296944,86656,762197,675541,2866273,128282,72600,2665391,794164,462687,734194,3560,670787
Jan-17,,3.74,3.4,5.56,4.26,3.75,6.44,4.21,9.32,7.58,4.85,4.31,2723628,525828,550704,1562121,84975,331690,29563,22945,2339431,151984,2187447,291656,278666,12955,269960,218600,51342,9239900,7000061,4377902,2622159,112505,787405,674900,2913823,126894,78712,2708217,830917,479371,734212,4094,659623
Feb-17,,3.14,2.81,6.39,3.8,3.24,5.99,4.13,10.01,7.89,4.53,3.72,2493267,472047,505985,1438680,76555,305432,28108,17139,2142588,139196,2003393,254597,246094,8477,253227,201167,52042,9239900,6714640,4377309,2337331,137031,421966,284935,2340217,116217,62816,2161185,579458,359436,649811,3698,568781
Mar-17,,2.68,2.57,4.35,3.21,2.97,4.47,3.84,9.86,7.68,3.92,3.51,2797117,543939,560762,1607345,85070,334324,19697,17297,2425799,157595,2268204,280567,275656,4878,273345,229765,43553,9240177,6440293,4377788,2062505,174880,449319,274439,2523331,131579,67554,2324198,579941,371668,696319,4094,672176
Apr-17,,2.64,2.53,3.74,3.65,3.25,5.16,4.2,11.34,8.04,4.11,3.5,2689967,517704,520882,1568742,82638,306345,15485,17705,2350432,152698,2197733,238279,233077,5171,242424,191732,50669,9251415,6670165,4378915,2291250,352299,122132,-230167,1932042,127491,50973,1753578,278972,211971,631624,3962,627049
May-17,,2.7,2.59,3.86,3.57,3.17,4.8,4.42,13.25,8.31,4.02,3.61,2778965,516713,534122,1643892,84237,310411,20445,19369,2428739,157786,2270953,244353,238831,5494,248867,188062,60782,9251415,7011244,4384737,2626507,430352,89622,-340730,1892010,131738,49723,1710548,199486,178502,628407,4094,700059
Jun-17,,2.62,2.51,3.58,3.41,3.1,4.61,4.82,16.06,8.75,4.05,3.4,2688422,506113,486284,1614519,81506,272596,20128,22521,2373176,154176,2219000,239805,234140,5637,253322,200844,52462,9256144,7260702,4353894,2906809,385572,104773,-280799,1910441,128725,50330,1731387,124057,138039,614294,3962,851035
Jul-17,,2.4,2.31,3.44,3.37,3.13,4.26,4.73,17.86,8.81,3.92,3.32,2753997,518613,463533,1688557,83293,235041,21404,19979,2477573,160958,2316614,250508,245292,5189,248801,195201,53592,9255831,7409892,4355741,3054151,303380,153530,-149850,2141595,134387,56698,1950510,107443,133651,623497,4094,1081826
Aug-17,,2.38,2.24,3.34,3.27,3.13,3.88,4.61,18.22,8.76,3.78,3.24,2769670,517848,475094,1694366,82362,249803,20983,22704,2476180,160868,2315312,247888,239997,7862,247302,201833,45468,9258191,7605198,4355301,3249896,353387,157763,-195625,2093773,134312,55349,1904112,103835,137228,636935,4094,1022019
Sep-17,,2.12,2.05,4.08,3.3,3.14,3.88,4.52,16.92,8.52,3.83,3.27,2763285,500187,504550,1677823,80726,276765,22157,26151,2438213,158401,2279811,229444,226769,2650,248916,194183,54733,9257762,7922712,4355483,3567228,419311,102776,-316535,1920466,132252,50513,1737701,114508,144828,615144,3962,859260
Oct-17,,2.06,1.99,4.41,3.37,3.11,4.02,4.03,13.39,7.97,3.78,3.24,2911373,526830,534911,1766484,83147,301032,21648,24438,2564255,166590,2397665,241338,238859,2457,279775,199576,80195,9257720,8170238,4353741,3816497,378180,130729,-247451,2031510,139089,53456,1838965,205087,200683,656558,4094,772543
Nov-17,,2.53,2.4,3.59,3.54,3.18,4.47,3.97,10.14,7.51,3.84,3.5,2897003,496469,534028,1787812,78694,297362,20162,20707,2558771,166233,2392537,240314,233906,6378,287727,207607,80100,9261090,8062349,4353086,3709263,199026,285005,85980,2357258,138792,62661,2155805,467729,322432,695526,3962,666156
Dec-17,,3.27,2.95,5.55,3.68,3.28,4.74,4,9.29,7.42,4.19,3.81,3025419,519127,546583,1877261,82449,317931,20285,24533,2662670,170757,2491914,274478,263583,10864,300138,217521,82604,9264128,7392391,4359790,3032602,90710,785458,694748,3086015,144427,83080,2858509,821890,486806,760689,4094,785029
Jan-18,,4.41,3.79,7.51,3.97,3.85,4.34,4.36,8.9,7.4,4.46,5.38,2993178,665082,391446,1850680,85970,325211,20550,29102,2618315,177251,2441063,299891,283223,16640,300234,227758,72463,9254963,6497521,4356964,2140557,140847,1036901,896054,3340935,134390,98811,3107734,981276,553970,782206,4282,786001
Feb-18,,3.02,2.76,5.95,3.93,3.31,5.62,3.99,9.63,7.74,4.85,3.75,2751215,611498,358228,1704589,76900,295921,19008,21938,2414348,163444,2250905,237417,230617,6771,275652,201968,73684,9254395,6029758,4357095,1672663,132512,599428,466917,2710719,123921,79713,2507085,689887,424203,699106,3867,690022
Mar-18,,2.45,2.16,7.07,3.37,2.87,4.45,3.69,9.76,7.71,4,3.32,3069284,669220,399671,1915467,84925,315367,25135,24565,2704217,183067,2521151,270762,264248,6473,291468,199901,91542,9251196,5743374,4353094,1390280,164116,449149,285033,2796708,138799,81905,2576005,659389,417944,737863,4282,756528
Apr-18,,2.2,2.11,4.57,3.46,2.98,4.56,3.65,10.05,7.65,3.89,3.26,2976108,646869,378572,1869862,80805,311039,24091,28437,2612541,176861,2435681,242264,239095,3131,278941,193227,85684,9246185,5777258,4350458,1426800,255580,223809,-31771,2350481,134093,68299,2148089,440848,301841,697338,4144,703919
May-18,,1.73,1.64,4.61,3.7,2.99,5.03,4.14,13.52,8.34,3.8,3.16,3098558,669082,379054,1966679,83743,313734,22444,31713,2730667,184857,2545810,227168,224488,2653,272116,177289,94797,9246082,6199145,4351691,1847454,488969,65909,-423060,2055019,140156,59007,1855856,169019,163748,670722,4282,848085
Jun-18,,1.87,1.77,4.62,3.43,2.96,4.65,4.49,16.47,8.58,3.77,3.23,2972738,642749,327376,1922264,80350,260982,23830,31973,2655954,179799,2476154,228469,225537,2904,261995,188431,73535,9244217,6549065,4353838,2195227,436179,87627,-348552,2063144,136321,59376,1867447,119244,142401,649104,4144,952554
Jul-18,,2.16,2.03,3.72,3.72,2.98,5.28,4.5,17.85,8.84,3.75,3.35,3138242,666257,343438,2045869,82679,261852,24356,52888,2799146,189493,2609653,247012,241382,5602,305997,207736,98240,9244717,6735506,4354236,2381269,361544,175166,-186378,2350719,143671,68011,2139037,105918,137574,667748,4282,1223514
Aug-18,,2.22,2.1,3.72,3.78,3.13,5.33,5.25,18.56,8.69,3.67,3.39,3206177,672050,358328,2092618,83182,273392,23908,53278,2855600,193315,2662285,237025,231529,5473,311449,219909,91526,9244717,6971846,4355005,2616841,407139,171775,-235365,2313836,146569,66785,2100482,99781,142976,667914,4282,1185530
Sep-18,,2.09,1.97,5.02,3.47,2.98,4.78,4.72,17.23,8.57,3.75,3.23,3153978,648863,365071,2059835,80209,287058,22905,35198,2808817,190148,2618670,214074,210896,3154,301742,220355,81381,9244717,7306139,4355771,2950368,463813,129749,-334064,2156063,144167,61997,1949898,112317,146602,657035,4144,1029799
Oct-18,,2.61,2.34,5.9,3.76,3.28,4.92,4.1,12.22,7.69,4.03,3.52,3314676,668904,379974,2183049,82749,301185,15052,59189,2939250,198978,2740273,215128,209023,6075,306653,216758,89886,9244487,7592871,4356617,3236255,421566,131043,-290522,2285854,150862,65791,2069201,255318,237370,684417,4282,887814
Nov-18,,4.1,3.87,10.7,4.46,3.92,5.62,4.28,9.42,7.34,4.51,4.34,3259912,642685,401997,2136395,78835,311098,12065,42651,2894098,195921,2698177,212486,209652,2805,337789,230180,107585,9240250,7386391,4356312,3030079,213135,418016,204881,2715942,148545,79115,2488282,598977,386256,735954,4144,762951
Dec-18,,4.89,4.14,8.64,5.22,4.39,6.84,4.72,9.62,7.7,5.47,4.89,3391473,660804,420344,2229941,80384,330530,25359,59670,2975914,201460,2774454,257148,242347,14771,363806,240989,122795,9240542,7068849,4360531,2708318,190513,510852,320339,2999510,152744,87724,2759042,765580,459067,767892,4282,762221
Jan-19,,4.3,3.55,9.36,4.39,3.6,5.89,4.03,9.36,7.67,5.02,4.16,3376735,644510,423126,2231082,78018,331494,24865,45547,2974830,207962,2766868,290886,276363,14482,364787,237813,126957,9241633,6360109,4366112,1993997,95142,803756,708614,3424302,148790,113780,3161732,953787,554325,800585,4515,848519
Feb-19,,4.06,3.6,8.97,3.76,3.17,5.06,3.91,9.4,7.54,4.62,3.78,3056916,585129,367432,2034214,70141,290293,23048,38326,2705249,189116,2516133,233344,225750,7555,329954,227074,102866,9248736,5792097,4365887,1426210,104352,672497,568145,3019120,135307,100173,2783640,809132,472246,718873,4078,779310
Mar-19,,3.79,3.63,7.7,3.68,3.04,4.84,4.07,9.42,7.4,4.31,3.6,3383042,639820,401333,2264257,77632,307935,24354,41945,3008808,210337,2798471,252989,249443,3499,373539,242696,130814,9224356,5545463,4360572,1184891,189689,434932,245243,2927812,150489,96474,2680848,688517,424232,750058,4515,813526
Apr-19,,2.14,1.97,7.32,3.32,2.49,4.7,3.72,10.85,7.72,3.99,2.99,3315270,617631,401160,2221029,75450,305880,24790,58755,2925844,204537,2721306,206559,203685,2842,338213,211083,127102,9222153,5926851,4367449,1559402,485598,103531,-382067,2212386,146340,71767,1994279,328581,246547,675101,4370,739680
May-19,,1.81,1.81,7.66,3.51,2.94,4.39,3.66,12.76,8.06,3.64,2.85,3424018,630261,401362,2314917,77479,310097,22697,44779,3046445,212968,2833477,207651,207613,9,368568,223633,144913,9226179,6403000,4371969,2031031,556916,85019,-471898,2133985,152372,68834,1912779,212408,184887,674882,4515,836087
Jun-19,,1.54,1.54,8.44,3.18,2.28,4.57,4.17,15.6,8.29,3.55,2.66,3299794,608327,365243,2251907,74317,267613,23483,52394,2956304,206667,2749637,201163,201133,5,360226,218249,141956,9226879,6835476,4374728,2460748,523071,91812,-431260,2119341,147863,68482,1902995,129214,144653,634196,4370,990562
Jul-19,,1.86,1.72,6.73,3.47,2.26,5.29,4.17,17.74,8.47,3.33,2.63,3395984,602982,338255,2378255,76492,264686,11011,48589,3071698,214733,2856964,230407,227550,2832,393400,236515,156865,9226773,7088570,4374373,2714197,415594,161500,-254094,2393904,153635,77819,2162450,111761,141950,649556,4515,1254667
Aug-19,,1.73,1.63,4.57,3.23,2.15,5.13,4.15,18.37,8.41,3.18,2.5,3448106,624041,343969,2403284,76812,231063,22438,48221,3146384,219954,2926429,220076,217167,2886,384983,246391,138578,9227873,7374445,4376635,2997810,453252,167605,-285647,2433924,157370,79079,2197474,101894,140788,672373,4515,1277904
Sep-19,,1.65,1.65,,3.56,2.38,5.28,4.07,17.61,8.34,3.35,2.68,3396571,618881,353321,2350433,73936,273099,23578,43360,3056535,213673,2842862,208286,208264,0,394511,234222,160274,9229002,7793013,4378074,3414939,528510,109361,-419150,2206252,152877,71327,1982049,109841,143158,643905,4370,1080775
Oct-19,,2.15,1.96,4.65,3.55,2.28,5.31,3.42,12.5,7.63,3.43,2.58,3551970,630510,385424,2460040,75996,299941,24353,41527,3186150,222734,2963416,210537,204977,5532,425775,247781,177966,9229747,8140781,4378738,3762043,461419,115665,-345754,2306544,159359,74586,2072599,231696,216141,683580,4515,936668
Nov-19,,2.8,2.66,7.12,4.03,2.66,5.84,3.46,9.33,6.98,3.86,3.08,3509293,607175,402720,2426542,72856,312524,22767,40075,3133926,219084,2914843,223765,220952,2781,441944,251305,190610,9229797,7990012,4379982,3610029,201178,350856,149678,2783754,156747,91253,2535754,589075,388823,734619,4370,818868
Dec-19,,3.23,2.84,6.17,3.89,2.48,5.55,3.5,9.3,7.19,3.84,3.04,3622512,624021,420205,2504871,73415,327300,24505,35962,3234746,226132,3008614,256053,245539,10481,481757,261086,220646,9229692,7567872,4379628,3188243,137798,556268,418470,3170717,161790,104519,2904407,752613,456817,778934,4515,911529
Jan-20,,2.91,2.43,6.03,3.74,2.13,5.42,3.26,9.43,7.24,3.7,2.74,3596775,617235,431134,2474989,73418,332253,22567,47778,3194177,239740,2954437,262080,248824,13218,510444,260106,250305,9247326,6996576,4380400,2616176,94440,665067,570627,3299777,159233,110329,3030214,824836,490676,779219,4161,931322
Feb-20,,2.16,1.94,5.67,3.51,1.93,5.12,3.09,9.19,7.03,3.58,2.5,3363434,573906,403043,2318148,68336,314927,22412,41479,2984616,224011,2760605,238328,232624,5689,454245,228425,225786,9247293,6460075,4379192,2080883,98895,634408,535513,3041481,148786,101622,2791073,737107,447569,723736,3893,878768
Mar-20,,1.71,1.62,4.34,3.3,1.74,4.91,3.25,9.8,7.29,3.38,2.23,3582414,603824,417659,2488811,72120,318207,22619,45352,3196236,239894,2956342,213231,210337,2860,497437,253130,244269,9247256,6408672,4379312,2029360,236339,285492,49153,2707481,159336,89518,2458627,526809,339081,709668,4161,878908
Apr-20,,1.51,1.49,1.48,3.21,1.68,4.74,3.05,10.42,7.24,2.99,2.2,3374224,563441,385921,2355822,69040,302964,23414,36004,3011842,226054,2785788,190049,186812,3214,420767,210266,210466,9256694,6716451,4383957,2332493,436762,130583,-306179,2240544,150144,73437,2016963,378049,238102,632860,4027,763925
May-20,,1.68,1.58,4.26,3.61,1.97,5.53,3.31,11.79,7.73,2.9,2.25,3285105,547921,365286,2301916,69981,305561,22534,29973,2927037,219689,2707348,186518,183681,2811,395472,212994,182438,9256966,7164234,4386649,2777585,521993,73987,-448006,2067048,145916,67491,1853641,236578,162665,616282,4161,833954
Jun-20,,1.57,1.53,1.61,2.99,1.78,5.55,3.81,15.33,8.24,2.71,2.08,3217496,542101,356418,2251186,67792,290611,23528,30356,2873001,215634,2657367,187478,182571,4871,338486,229442,109002,9256932,7522519,4389423,3133096,442802,84854,-357949,2130675,143222,69820,1917632,136117,131787,600130,4027,1045572
Jul-20,,1.73,1.58,4.59,2.9,1.83,5.73,3.92,17.49,8.49,2.57,2.1,3373594,567022,370385,2367335,68851,295566,23188,33508,3021331,226767,2794565,210419,206315,4083,349167,252930,96200,9256884,7683812,4390263,3293550,312200,151035,-161165,2489307,150617,82160,2256531,118132,129086,633048,4161,1372103
Aug-20,,1.9,1.88,1.52,3.28,2.11,5.85,4.09,18.27,8.48,2.84,2.47,3349817,552423,342178,2390049,65167,282587,22675,32975,3011580,226035,2785546,211352,208445,2883,359159,246677,112462,9256860,7911918,4389701,3522216,401382,173887,-227495,2401321,150131,79086,2172105,108819,131179,648179,4161,1279767
Sep-20,,2.02,1.99,3.4,3.49,2.23,5.53,4.07,16.85,8.45,3.29,2.49,3265272,536601,358360,2303833,66478,294886,22288,30530,2917569,218979,2698590,174225,172968,1241,395424,244279,151128,9256826,8228769,4388932,3839836,449590,126170,-323420,2171842,145444,71189,1955210,126524,143703,643206,4027,1037749
Oct-20,,2.17,2.17,4.74,3.85,2.17,5.8,3.5,12.26,7.59,3.28,2.57,3363756,543018,373468,2378988,68282,317333,22623,31973,2991827,224552,2767275,199306,199273,8,481621,258632,222963,9258790,8321354,4392850,3928504,283120,190714,-92406,2320028,149146,76264,2094617,241924,208850,685673,4161,954009
Nov-20,,2.79,2.64,6.93,4.77,2.73,6.58,3.81,10.99,7.64,3.98,3.08,3352374,545119,384752,2356395,66108,314833,23332,29681,2984528,224004,2760524,211736,208871,2846,528210,247493,280682,9259448,8325457,4393841,3931616,218129,214323,-3807,2434877,148782,80312,2205783,439827,293558,701137,4027,767235
Dec-20,,2.89,2.72,5.54,4.84,2.85,6.48,3.57,9.75,7.39,4.1,3.3,3489506,556741,423381,2443818,65566,347262,23428,30115,3088701,231823,2856878,266618,261108,5489,553176,248884,304263,9259491,7735441,4394460,3340981,94139,681386,587247,3167833,153975,105879,2907979,799589,453966,777587,4161,872676
Jan-21,,3.03,2.75,7.62,4.62,2.89,6.08,3.46,9.68,7.41,4.07,3.33,3505939,,,,,,,,3099685,231519,2868165,284065,277665,6379,563515,258287,305196,9259491,7029187,4394223,2634964,75824,782893,707069,3285624,154523,108590,3022511,877190,491592,782845,4485,866400
Feb-21,,5.82,5.54,9.44,12.68,18.64,6.52,12.45,9.31,7.35,9.33,16.29,2923611,,,,,,,,2577173,170302,2406871,271877,266160,5694,424004,215579,208394,9259456,6247841,4389618,1858222,122356,903783,781427,3042312,128475,100548,2813289,865553,491668,664078,4051,787939
Mar-21,,2.71,2.63,8.36,4.71,2.91,6.25,4.04,10.51,7.99,4.4,3.41,3481997,,,,,,,,3080967,228828,2852140,238724,237292,1409,595411,274352,321023,9259456,6188654,4388009,1800645,262155,321156,59001,2606980,153590,86161,2367229,567757,354700,696093,4485,744195
Apr-21,,2.44,2.44,3.68,4.46,2.72,5.92,3.84,12.25,8.4,4,3.14,3408617,,,,,,,,3025171,236817,2788354,208369,208342,8,564418,257571,306818,9259389,6354239,4379908,1974331,347372,173063,-174309,2237206,150808,73940,2012458,338424,244253,671925,4340,753517
May-21,,2.76,2.66,7.55,4.89,3.02,6.46,4.34,14.13,8.96,4.12,3.35,3510035,,,,,,,,3118960,244674,2874287,204890,203194,1675,578132,263186,314922,9259355,6770915,4382855,2388060,491110,75030,-416080,2093859,155484,69202,1869174,216552,181734,650650,4485,815753
Jun-21,,2.83,2.83,7.55,4.92,3.25,6.57,4.87,17.73,9.59,4.15,3.57,3393407,,,,,,,,3027840,237703,2790137,207859,207835,11,539252,267857,271368,9259319,7018683,4435826,2582857,387667,139565,-248102,2213947,150941,73171,1989835,128091,142020,633325,4340,1082059
Jul-21,,3.47,3.37,8.41,5.64,3.84,7.23,5.61,19.94,9.87,4.73,4.13,3490740,,,,,,,,3140707,244549,2896158,227779,226033,1735,565564,265405,300143,9259285,7188304,4435864,2752440,340972,171173,-169799,2381773,156568,78718,2146488,111773,141841,657376,4515,1230983
